"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5013","RT @churumuri: ‘The Telegraph’ and ‘Business Standard’ submit entries for the first chapter of the 2020 edition of ‘Na khaoonga na khaane d…",FALSE,0,NA,2020-03-07 15:01:07,FALSE,NA,"1236305886236291072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jikki007",211,TRUE,FALSE,NA,NA
"5014","RT @RoflGandhi_: Things are so bad that even unwashed @RShivshankar is asking the government that where should people keep their money. May…",FALSE,0,NA,2020-03-07 15:01:01,FALSE,NA,"1236305862286692352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauwrav",691,TRUE,FALSE,NA,NA
"5015","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 15:00:53,FALSE,NA,"1236305827683651584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ram_jey",1752,TRUE,FALSE,NA,NA
"5016","RT @churumuri: ‘The Telegraph’ and ‘Business Standard’ submit entries for the first chapter of the 2020 edition of ‘Na khaoonga na khaane d…",FALSE,0,NA,2020-03-07 15:00:51,FALSE,NA,"1236305818816929794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mbashailesh",211,TRUE,FALSE,NA,NA
"5017","RT @NH_India: #Congress leader and former Union #financeminister #PChidambaram said the #YesBank #fiasco was caused by “mismanagement” of f…",FALSE,0,NA,2020-03-07 15:00:35,FALSE,NA,"1236305751452323845",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YasminZafar123",41,TRUE,FALSE,NA,NA
"5018","@YESBANK @FinMinIndia @RBI @YESBANK could please help me understand if the Savings account is functional, I have mi… https://t.co/70Rvagt9SH",FALSE,0,"YESBANK",2020-03-07 15:00:32,TRUE,"1235951315114696706","1236305739452309504","41994925","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeonaVa65456345",0,FALSE,FALSE,NA,NA
"5019","RT @sanjeev_goyal: Adani Closed his accounts with YES bank last month.
Gujrat Govt bodies took out thier money from #YesBank just 2 days ag…",FALSE,0,NA,2020-03-07 15:00:30,FALSE,NA,"1236305731147554816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheFakeGeek",1328,TRUE,FALSE,NA,NA
"5020","RT @vinodkapri: Friends of Modi on #YesBank list https://t.co/pRcEgzq9oW",FALSE,0,NA,2020-03-07 15:00:28,FALSE,NA,"1236305724545757184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gainwjustin000",42,TRUE,FALSE,NA,NA
"5021","RT @srijanpalsingh: ED is raiding #RanaKapoor house ... After he has already got away. 
On 10th Jan he and entire family sold off every sin…",FALSE,0,NA,2020-03-07 15:00:27,FALSE,NA,"1236305719281905665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rkiyer_com",33,TRUE,FALSE,NA,NA
"5022","RT @InquilabAzad: ED raid on #RanaKapoor is a Farce , if ED does not grill #AnilAmbani, @subashchandra , Sameer Gaulat (India Bulls ) , Kap…",FALSE,0,NA,2020-03-07 15:00:25,FALSE,NA,"1236305709433679873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inayatbit2011",74,TRUE,FALSE,NA,NA
