"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@VarunVasudev10 @IqooInd @Flipkart March 10th wait for it",FALSE,0,"VarunVasudev10",2020-03-07 13:05:25,FALSE,"1236177105756418051","1236276768819953664","1128255937368576001","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SnipeRS200",0,FALSE,FALSE,NA,NA
"RT @Flipkart: How do you #RaiseHerToLead ? Tell us and stand a chance to win a brand new @realmemobiles 5 Pro for your daughter! #ContestAl…",FALSE,0,NA,2020-03-07 13:05:03,FALSE,NA,"1236276676482473986",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AsifNaw91855375",63,TRUE,FALSE,NA,NA
"@Flipkart any sale is coming up?",FALSE,0,"Flipkart",2020-03-07 13:04:31,FALSE,NA,"1236276542642110467","57947109","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","suryapr60429377",0,FALSE,FALSE,NA,NA
"RT @Flipkart: How do you #RaiseHerToLead ? Tell us and stand a chance to win a brand new @realmemobiles 5 Pro for your daughter! #ContestAl…",FALSE,0,NA,2020-03-07 13:04:16,FALSE,NA,"1236276479257759745",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","techyrajat",63,TRUE,FALSE,NA,NA
"Purchased one voucher of Flipkart Rs. 100 and payment debited twice. Please refund the same. @CareMagicpin",FALSE,0,NA,2020-03-07 13:03:52,FALSE,NA,"1236276377935966209",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","hbhimani728",0,FALSE,FALSE,NA,NA
"RT @Flipkart: How do you #RaiseHerToLead ? Tell us and stand a chance to win a brand new @realmemobiles 5 Pro for your daughter! #ContestAl…",FALSE,0,NA,2020-03-07 13:03:42,FALSE,NA,"1236276338069131265",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","gopalsanthosh0",63,TRUE,FALSE,NA,NA
"@flipkartsupport how did get an opportunity to be intern at Flipkart?",FALSE,0,"flipkartsupport",2020-03-07 13:03:39,FALSE,NA,"1236276326417551361","951522626","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Bhargavrohan102",0,FALSE,FALSE,NA,NA
"Women's Day Special Offer Ends Soon...
Get 75% discount on Stylish Leather Green Clutch for Stylish Women by KARA… https://t.co/j5z0RqCAoG",FALSE,0,NA,2020-03-07 13:02:50,TRUE,NA,"1236276119076306946",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","karabagscom",0,FALSE,FALSE,NA,NA
"@IndiaPOCO @Flipkart Matrix Purple...which can further be modified!! Color mixing karwao...kuchh aur achcha banao!!… https://t.co/3wDxulyNtu",FALSE,0,"IndiaPOCO",2020-03-07 13:02:36,TRUE,"1235904175919099905","1236276059152113665","1008926867875753985","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","prettyordinary1",0,FALSE,FALSE,NA,NA
"@Flipkart your only fault is you choosed @delhivery @help_delhivery, worst delivery partner. Never get such deliver… https://t.co/OciH7Q5Vjz",FALSE,1,"Ravishek23",2020-03-07 13:02:33,TRUE,"1236272213717692419","1236276049257721856","224381595","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Ravishek23",0,FALSE,FALSE,NA,NA
"@asyraf_fareed @ArjunDev_05 @realmemobiles @Flipkart That can brick device with a small mistake.
&amp; not all users ar… https://t.co/pIbPbMcxWt",FALSE,0,"asyraf_fareed",2020-03-07 13:02:23,TRUE,"1236272113016664065","1236276004466733058","383608881","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","UjjwalMOfficial",0,FALSE,FALSE,NA,NA
"How do you #RaiseHerToLead ? Tell us and stand a chance to win a brand new @realmemobiles 5 Pro for your daughter!… https://t.co/WggN9kddGV",FALSE,152,NA,2020-03-07 13:01:59,TRUE,NA,"1236275907704184834",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Flipkart",63,FALSE,FALSE,NA,NA
"RT @Naveen_MRA: Dowry harassment: Flipkart co-founder Sachin Bansal's wife files case against him

The Man with Business tycoon spoon is no…",FALSE,0,NA,2020-03-07 13:00:57,FALSE,NA,"1236275645019066368",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Itsme_VA",51,TRUE,FALSE,NA,NA
"@rgd__here @IndiaPOCO @not_done_ @nandhaVishvaraj @cmanmohan @Flipkart Yaa this happened with me",FALSE,0,"rgd__here",2020-03-07 13:00:33,FALSE,"1235429608008429570","1236275543709847552","753036102764605440","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","chaitanypatil21",0,FALSE,FALSE,NA,NA
"Thank you @Flipkart for your quick response...

My product has been picked up by wishmaster within 6 hours <U+2764><U+FE0F>

Alwa… https://t.co/ejvXJ9rhSJ",FALSE,0,NA,2020-03-07 12:59:55,TRUE,NA,"1236275385580441602",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","oghori_atma",0,FALSE,FALSE,NA,NA
"RT @IqooInd: Gopu Rajeev is delighted to own India's fastest smartphone. 
Are you ready to experience the #iQOO3?

Know more: https://t.co/…",FALSE,0,NA,2020-03-07 12:58:57,FALSE,NA,"1236275140914102273",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MohamedShahip",4,TRUE,FALSE,NA,NA
"RT @MyNation_KA: Filing dowry harassment after 12 years of marriage.... A man worth 7500+ Crores forcing wife to transfer her properties...…",FALSE,0,NA,2020-03-07 12:57:51,FALSE,NA,"1236274864975118336",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Ravi23feb",74,TRUE,FALSE,NA,NA
"Dettol Original Liquid Hand Wash Refill with Instant Sanitizer  (2 Items in the set)

Rs 152

https://t.co/lqXOxZn3Yf",FALSE,1,NA,2020-03-07 12:56:04,FALSE,NA,"1236274417056935936",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Amazingdeals360",0,FALSE,FALSE,NA,NA
